Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Sebastidae,Sebastes,caurinus,copper rockfish,2.7,58,3400,,0.08,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,7.02,58,3400,,0.21,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,9.41,58,3400,,0.28,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,6.58,58,3400,,0.19,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,5.08,58,3400,,0.15,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,4.02,58,3400,,0.12,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,6.36,58,3400,,0.19,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,6.68,58,3400,,0.20,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,1.84,58,3400,,0.05,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,11.27,58,3400,,0.33,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,10.52,58,3400,,0.31,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,7.12,58,3400,,0.21,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,3.73,58,3400,,0.11,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,4.35,58,3400,,0.13,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,8.37,58,3400,,0.25,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,6.28,58,3400,,0.18,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,4.42,58,3400,,0.13,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,3.96,58,3400,,0.12,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,4.21,61,3900,,0.11,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,2.65,61,3900,,0.07,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,3.35,61,3900,,0.09,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,3.47,61,3900,,0.09,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,4.3,61,3900,,0.11,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,2.46,61,3900,,0.06,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,2.98,61,3900,,0.08,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,1.5,61,3900,,0.04,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,4.2,61,3900,,0.11,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,4.22,61,3900,,0.11,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,3.21,61,3900,,0.08,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,1.35,61,3900,,0.03,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,1.83,61,3900,,0.05,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,2.14,61,3900,,0.05,,,,,,,round,,,,
Sebastidae,Sebastes,mystinus,blue rockfish,1.69,61,3900,,0.04,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Mormyridae,Marcusenius,victoriae,Victoria stonebasher,14.29,26,196.46,,7.27,,,,,,,cresent,,,,
Mormyridae,Marcusenius,victoriae,Victoria stonebasher,19.51,26,196.46,,9.93,,,,,,,cresent,,,,
Fundulidae,Fundulus,heteroclitus,Killifish,4.22,15,59.33,,7.11,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,1110,200,31900,,3.48,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,930,200,31900,,2.92,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,750,200,31900,,2.35,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,760,200,31900,,2.38,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,950,200,31900,,2.98,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,670,200,31900,,2.10,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,1160,200,31900,,3.64,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,980,200,31900,,3.07,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,930,200,31900,,2.92,,,,,,,cresent,,,,
Carcharhinidae,Carcharhinus,melanopterus,blacktip reef shark,800,200,31900,,2.51,,,,,,,cresent,,,,
